County,1Y Prediction,2Y Prediction,5Y Prediction,Infected Proportion,Last # of Infected
Kings New York,834292.300411087,188330.54591740342,2131.187076349722,0.029602293524403075,75779
Clark Nevada,1826728.226988062,1386110.0028683913,605390.6455963058,0.03603629040263112,81684
San Bernardino California,1817524.3782047906,1434344.3571933715,704760.7596138356,0.02952499558503453,64367
Wayne Michigan,552350.9183911429,129033.38572937364,1640.937617799833,0.0238552416535808,41731
Tarrant Texas,1767846.7952651237,1423121.4449205496,742357.8214505541,0.03177622989610062,66810
Franklin Ohio,1074017.4738054983,809735.7185983645,346439.75491054746,0.025713192117598097,33858
Cuyahoga Ohio,987017.7291485124,690134.1011537251,229746.80519277218,0.017218429370919268,21266
Miami-Dade Florida,2314817.7605937,1892299.46010449,1031851.3979735931,0.06829447834696387,185552
Bexar Texas,1588545.0541921766,1174502.557243514,474452.6569976248,0.03274181778978755,65600
Maricopa Arizona,3392408.4064329397,2391773.1026495863,838069.345413056,0.0351646470091724,157728
Cook Illinois,3555649.720647596,2196454.0931819202,517259.31106180086,0.03619350813836966,186405
Los Angeles California,7294923.784010618,4908251.328618945,1494895.1776338813,0.030513371358627816,306327
Philadelphia Pennsylvania,1154026.3059463638,715478.7664957719,165806.8871197028,0.028095455739162053,44505
San Diego California,2964686.4564746507,2472180.31435504,1421687.8446469195,0.016885388802185524,56369
Suffolk Massachusetts,612683.9260669088,410785.98692409205,118117.37166653086,0.035650889966127926,28660
Broward Florida,1604576.1335986943,1254818.5247565992,599962.6776318711,0.044086424570534896,86091
Hennepin Minnesota,985987.4080202953,683961.5157021796,226159.60528658668,0.028539084230824834,36126
Allegheny Pennsylvania,981519.3715226916,701385.4792175757,254055.22024135428,0.01284656406629689,15622
Alameda California,1483842.5473242044,1230894.627808976,692041.4035676942,0.014225206407595392,23775
Orange California,2667122.6681079683,2056877.4045680114,937994.3280933365,0.01880472035701195,59718
