DATE,ILCOOK1URN
1990-01-01,7.300
1990-02-01,7.100
1990-03-01,6.900
1990-04-01,7.100
1990-05-01,6.900
1990-06-01,7.100
1990-07-01,7.300
1990-08-01,7.400
1990-09-01,7.300
1990-10-01,6.900
1990-11-01,6.800
1990-12-01,7.0
1991-01-01,7.8
1991-02-01,7.6
1991-03-01,7.800
1991-04-01,7.400
1991-05-01,7.800
1991-06-01,8.300
1991-07-01,8.200
1991-08-01,8.2
1991-09-01,8.300
1991-10-01,8.5
1991-11-01,9.000
1991-12-01,9.4
1992-01-01,10.000
1992-02-01,9.800
1992-03-01,9.400
1992-04-01,9.1
1992-05-01,9.4
1992-06-01,9.9
1992-07-01,9.100
1992-08-01,8.400
1992-09-01,8.100
1992-10-01,7.300
1992-11-01,7.800
1992-12-01,8.1
1993-01-01,9.100
1993-02-01,9.000
1993-03-01,8.800
1993-04-01,8.8
1993-05-01,9.200
1993-06-01,9.600
1993-07-01,9.000
1993-08-01,8.400
1993-09-01,8.500
1993-10-01,8.0
1993-11-01,7.3
1993-12-01,7.000
1994-01-01,8.400
1994-02-01,7.700
1994-03-01,7.500
1994-04-01,7.000
1994-05-01,6.5
1994-06-01,6.700
1994-07-01,6.700
1994-08-01,6.400
1994-09-01,5.9
1994-10-01,5.900
1994-11-01,5.3
1994-12-01,5.100
1995-01-01,6.300
1995-02-01,5.900
1995-03-01,6.000
1995-04-01,6.700
1995-05-01,6.200
1995-06-01,6.200
1995-07-01,6.300
1995-08-01,6.100
1995-09-01,5.700
1995-10-01,5.4
1995-11-01,5.200
1995-12-01,5.400
1996-01-01,6.600
1996-02-01,6.100
1996-03-01,6.000
1996-04-01,6.200
1996-05-01,6.400
1996-06-01,6.400
1996-07-01,6.600
1996-08-01,5.900
1996-09-01,5.6
1996-10-01,5.400
1996-11-01,5.3
1996-12-01,5.400
1997-01-01,6.300
1997-02-01,6.000
1997-03-01,6.000
1997-04-01,5.600
1997-05-01,5.300
1997-06-01,5.900
1997-07-01,5.700
1997-08-01,5.500
1997-09-01,5.600
1997-10-01,5.400
1997-11-01,5.300
1997-12-01,5.400
1998-01-01,6.000
1998-02-01,5.500
1998-03-01,5.500
1998-04-01,4.700
1998-05-01,4.800
1998-06-01,5.700
1998-07-01,5.000
1998-08-01,5.300
1998-09-01,5.400
1998-10-01,5.100
1998-11-01,4.800
1998-12-01,4.600
1999-01-01,5.0
1999-02-01,5.000
1999-03-01,4.600
1999-04-01,5.200
1999-05-01,5.100
1999-06-01,5.900
1999-07-01,5.700
1999-08-01,5.200
1999-09-01,5.000
1999-10-01,4.7
1999-11-01,4.600
1999-12-01,4.5
2000-01-01,5.000
2000-02-01,5.000
2000-03-01,5.0
2000-04-01,4.700
2000-05-01,4.800
2000-06-01,5.200
2000-07-01,5.2
2000-08-01,5.000
2000-09-01,4.500
2000-10-01,4.2
2000-11-01,4.600
2000-12-01,4.800
2001-01-01,5.700
2001-02-01,5.7
2001-03-01,6.000
2001-04-01,5.9
2001-05-01,5.6
2001-06-01,6.3
2001-07-01,6.000
2001-08-01,6.200
2001-09-01,5.9
2001-10-01,6.100
2001-11-01,6.5
2001-12-01,6.800
2002-01-01,7.900
2002-02-01,7.700
2002-03-01,7.700
2002-04-01,7.900
2002-05-01,7.600
2002-06-01,8.300
2002-07-01,8.200
2002-08-01,7.600
2002-09-01,7.1
2002-10-01,7.200
2002-11-01,7.3
2002-12-01,7.200
2003-01-01,7.900
2003-02-01,7.600
2003-03-01,7.500
2003-04-01,7.300
2003-05-01,7.300
2003-06-01,8.500
2003-07-01,8.000
2003-08-01,7.800
2003-09-01,7.400
2003-10-01,6.900
2003-11-01,6.800
2003-12-01,6.5
2004-01-01,7.300
2004-02-01,7.000
2004-03-01,7.100
2004-04-01,6.800
2004-05-01,6.800
2004-06-01,7.300
2004-07-01,7.1
2004-08-01,6.800
2004-09-01,6.500
2004-10-01,6.500
2004-11-01,6.500
2004-12-01,6.300
2005-01-01,6.800
2005-02-01,7.100
2005-03-01,6.6
2005-04-01,6.800
2005-05-01,6.600
2005-06-01,7.100
2005-07-01,6.700
2005-08-01,6.100
2005-09-01,6.2
2005-10-01,5.700
2005-11-01,5.700
2005-12-01,5.400
2006-01-01,5.600
2006-02-01,5.500
2006-03-01,5.000
2006-04-01,5.200
2006-05-01,4.800
2006-06-01,5.200
2006-07-01,5.200
2006-08-01,4.900
2006-09-01,4.4
2006-10-01,4.000
2006-11-01,4.200
2006-12-01,4.400
2007-01-01,5.400
2007-02-01,5.200
2007-03-01,4.600
2007-04-01,5.100
2007-05-01,5.000
2007-06-01,5.800
2007-07-01,5.800
2007-08-01,5.400
2007-09-01,5.200
2007-10-01,5.100
2007-11-01,5.000
2007-12-01,5.400
2008-01-01,6.000
2008-02-01,5.900
2008-03-01,5.600
2008-04-01,5.400
2008-05-01,6.300
2008-06-01,7.000
2008-07-01,6.900
2008-08-01,7.000
2008-09-01,6.400
2008-10-01,6.600
2008-11-01,6.600
2008-12-01,7.500
2009-01-01,8.800
2009-02-01,9.700
2009-03-01,9.900
2009-04-01,10.000
2009-05-01,10.400
2009-06-01,11.200
2009-07-01,11.200
2009-08-01,11.100
2009-09-01,11.000
2009-10-01,11.200
2009-11-01,10.800
2009-12-01,11.300
2010-01-01,12.300
2010-02-01,12.000
2010-03-01,11.600
2010-04-01,11.200
2010-05-01,10.700
2010-06-01,11.100
2010-07-01,11.200
2010-08-01,10.800
2010-09-01,10.000
2010-10-01,9.900
2010-11-01,10.000
2010-12-01,9.700
2011-01-01,10.6
2011-02-01,10.300
2011-03-01,10.0
2011-04-01,10.000
2011-05-01,10.300
2011-06-01,11.3
2011-07-01,11.3
2011-08-01,11.100
2011-09-01,10.600
2011-10-01,10.400
2011-11-01,9.7
2011-12-01,9.700
2012-01-01,10.2
2012-02-01,10.000
2012-03-01,9.5
2012-04-01,9.200
2012-05-01,9.4
2012-06-01,10.2
2012-07-01,10.3
2012-08-01,9.9
2012-09-01,9.000
2012-10-01,9.3
2012-11-01,8.900
2012-12-01,9.6
2013-01-01,10.6
2013-02-01,10.2
2013-03-01,9.6
2013-04-01,9.400
2013-05-01,9.5
2013-06-01,10.4
2013-07-01,10.0
2013-08-01,9.8
2013-09-01,9.200
2013-10-01,9.4
2013-11-01,8.8
2013-12-01,8.6
2014-01-01,9.1
2014-02-01,9.1
2014-03-01,8.4
2014-04-01,7.5
2014-05-01,7.4
2014-06-01,7.7
2014-07-01,7.8
2014-08-01,7.4
2014-09-01,6.7
2014-10-01,6.6
2014-11-01,6.4
2014-12-01,6.0
2015-01-01,7.0
2015-02-01,6.7
2015-03-01,6.2
2015-04-01,6.0
2015-05-01,6.3
2015-06-01,6.6
2015-07-01,6.5
2015-08-01,6.1
2015-09-01,5.7
2015-10-01,5.9
2015-11-01,5.9
2015-12-01,6.0
2016-01-01,6.6
2016-02-01,6.6
2016-03-01,6.3
2016-04-01,6.2
2016-05-01,5.6
2016-06-01,6.5
2016-07-01,6.2
2016-08-01,6.2
2016-09-01,5.9
2016-10-01,5.9
2016-11-01,5.3
2016-12-01,5.2
2017-01-01,5.9
2017-02-01,5.4
2017-03-01,4.7
2017-04-01,4.7
2017-05-01,4.7
2017-06-01,5.5
2017-07-01,5.5
2017-08-01,5.8
2017-09-01,5.0
2017-10-01,4.9
2017-11-01,4.7
2017-12-01,4.5
2018-01-01,5.1
2018-02-01,4.8
2018-03-01,4.0
2018-04-01,3.8
2018-05-01,3.6
2018-06-01,4.7
2018-07-01,4.4
2018-08-01,4.2
2018-09-01,3.8
2018-10-01,4.0
2018-11-01,3.6
2018-12-01,3.8
2019-01-01,4.8
2019-02-01,4.3
2019-03-01,4.0
2019-04-01,3.7
2019-05-01,3.5
2019-06-01,4.2
2019-07-01,4.2
2019-08-01,4.0
2019-09-01,3.3
2019-10-01,3.4
2019-11-01,3.1
2019-12-01,2.9
2020-01-01,3.6
2020-02-01,3.4
2020-03-01,4.8
2020-04-01,18.1
2020-05-01,16.4
2020-06-01,17.4
2020-07-01,13.8
2020-08-01,13.9
2020-09-01,12.4
